"Category","SSP1-1.9","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP1-2.6","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP2-4.5","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP3-7.0","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP5-8.5","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)"
"Jan",0.14,-0.87,1.79,1.08,-0.83,2.29,1.71,-0.24,2.92,1.75,0.27,3.1,2.03,0.18,3.24
"Feb",0.38,-1.29,1.48,1.05,-0.46,2.57,1.25,-0.22,2.48,1.68,0.37,2.77,1.86,0.32,3
"Mar",0.65,-1.44,1.29,1.19,-0.07,2.23,1.42,0.62,2.54,1.81,0.81,2.55,1.81,1.1,2.87
"Apr",0.66,-0.86,1.77,0.9,-0.31,2.13,1.24,0.17,2.13,1.53,0.4,2.47,1.57,0.6,2.57
"May",1.29,-0.33,2.74,1.15,-0.5,2.51,1.28,-0.28,2.75,1.27,0.04,2.66,1.59,0.18,3.21
"Jun",1.31,0.12,2.92,1.74,0.16,3.4,1.7,0.53,4.01,1.88,0.75,3.75,2.25,0.31,4.19
"Jul",1.19,0.09,3.23,1.99,0.46,4.76,2.25,0.8,4.52,2.43,0.92,5.6,2.95,1.24,6.89
"Aug",1.31,-0.78,3.31,2.25,0.19,4.69,2.3,0.32,4.89,2.52,0.86,5.95,3.25,1.14,6.48
"Sep",1.48,-0.89,3.23,1.84,-0.67,3.8,1.97,-0.35,4.03,2.03,0.39,3.67,2.75,-0.1,4.61
"Oct",1.37,-0.11,3.1,1.24,-0.08,2.62,1.51,0.38,3.16,1.7,0.16,2.71,2.08,-0.05,3.78
"Nov",1.27,0.18,2.37,1.1,0.07,2.23,1.36,0.19,2.44,1.59,0.52,2.53,1.95,0.68,3.36
"Dec",0.79,-0.31,1.85,1.16,-0.17,2.35,1.6,-0.05,3.02,1.76,0.38,3.14,2.26,0.71,3.35
