"Category","SSP1-1.9","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP1-2.6","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP2-4.5","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP3-7.0","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP5-8.5","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)"
"Jan",5.96,-17.75,26.26,3.47,-17.7,25.39,1.34,-15.27,21.35,6.46,-12.01,25.23,3.47,-18.11,27.11
"Feb",7.89,-13.99,27.35,3.41,-12.12,22.13,5.1,-10.1,25.69,2.94,-11.63,24.43,6.38,-13.04,26.27
"Mar",12.46,-15.76,40.17,1.94,-16.75,26.19,1.43,-15.16,28.59,4.52,-17.47,27.77,5.07,-17.72,30.1
"Apr",7.36,-24.6,46.07,5.77,-18.11,36.33,6.01,-18.03,34.54,5.09,-21.49,32.82,8.31,-18.79,40.79
"May",10.31,-33.81,57.5,0.64,-28.94,31.58,3.34,-25.3,36.97,8.57,-30.16,38.27,3.88,-28.17,40.39
"Jun",13.99,-31.43,58.61,1.48,-36.92,50.11,0.87,-32.19,51.58,1.33,-34.03,51.17,3.33,-32.6,50.39
"Jul",15.29,-29.31,73.4,-1.46,-51.5,63.51,-5.19,-50.37,64.57,-8.09,-53.78,59.8,-11.57,-59.48,65.23
"Aug",13.44,-18.48,64.28,-3.6,-41.51,53.09,-4.2,-45.16,59.56,-8.77,-41.89,51.3,-5.44,-44.99,50.5
"Sep",20.07,-14.28,64.62,0.28,-26.34,41.85,-1.94,-28.61,38.71,-4.53,-24.32,34.33,-4.08,-27.29,41.32
"Oct",14.01,-17.14,51.61,0.95,-18.29,43.96,0.25,-20.45,39.86,1.62,-19.06,34.1,-1.49,-21.8,37
"Nov",9.16,-24.97,39.45,3.98,-22.19,30.4,2.45,-20.04,33.59,2.83,-17.77,36.78,1.72,-19.57,32.75
"Dec",14.42,-21.82,45.25,3.95,-16.45,27.71,3.99,-20.26,34.34,3.3,-15.62,31.14,4.99,-17.29,32.94
