"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",-13.91,-21.07,-0.2,-8.82,11.77
"Feb",-3.15,-17.57,-18.38,-2.94,2.83
"Mar",10.83,13.76,24.02,4.19,-8.22
"Apr",-4.18,-3.5,-2.45,2.84,-11.35
"May",2.86,9.33,4.8,4.07,7.07
"Jun",-2.49,-2.42,1.07,-5.02,-16.23
"Jul",13.13,15.05,12.04,11.97,-2.53
"Aug",-24.59,-28.95,-11.63,-21.85,-14.56
"Sep",-13.07,-23.8,-3.11,12.81,9.22
"Oct",-12.71,-23.07,-24.65,-5.64,-19.68
"Nov",-12.09,-8.51,-0.4,-13.47,-0.73
"Dec",26.3,19.14,20.57,16.87,18.96
